batch,mode,variant,unit,battles,summons,bodies,hp_damage,structure_damage,friendly_damage,armor_damage,hp_taken,armor_absorbed,blocked_damage,evaded_damage,attacks,landed_hits,melee_hits,kills,regular_kills,monster_kills,deaths,banished,goals,survivors,healing,regeneration,charms,poisons,portals,enemy_banishments,friendly_banishments,structures_built,tower_damage,retargets,first_hit_tick,hit_bodies,mean_first_hit_tick
main,duel,armor3,Dotra,192,192,1.0,5.0365,1.4375,0.0,2.2292,0.849,3.4167,0.0,0.0,3.8802,3.8802,3.4479,1.0,1.0,0.0,0.0,0.0,0.9896,0.0104,0.0,0.5052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.3073,1.0,340.31
main,duel,armor3,Fyra,192,192,1.0,4.4115,0.0,0.0,1.7083,1.4688,3.5417,0.0,0.0,3.2604,3.2604,3.2604,0.6927,0.6927,0.0,0.2396,0.0,0.7604,0.0,0.0,0.0781,0.4115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.724,1.0,196.72
main,duel,armor3,Kopita,192,192,1.0,5.0521,1.5,0.0,2.25,1.75,4.0,0.0,0.0,4.5,4.5,4.5,1.0,1.0,0.0,0.25,0.0,0.75,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.2552,1.0,324.26
main,duel,armor3,Kurchin,192,192,1.0,4.75,1.5,0.0,2.25,1.8177,8.25,0.0,0.0,8.5,8.5,8.5,0.75,0.75,0.0,0.25,0.0,0.75,0.0,0.0,0.5677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,1.0,450.0
main,duel,armor3,Lemek,192,192,1.0,5.0938,1.5,0.0,2.25,0.0,4.25,0.0,0.0,3.25,3.25,3.25,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323.375,1.0,323.38
main,duel,armor3,Muno,192,192,1.0,5.1927,1.5,0.0,2.25,0.0,2.5625,0.0,0.0,3.25,3.25,2.0573,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261.5469,1.0,261.55
main,duel,armor3,Sinodek,192,192,1.0,4.2552,1.4688,0.0,2.0625,2.9323,5.6042,0.0,0.0,7.7865,7.7865,7.7865,0.6823,0.6823,0.0,0.4219,0.0052,0.5052,0.0677,0.0,0.8229,0.0,0.0,1.5208,0.0677,0.0052,0.0,0.0,0.0,478.7031,0.9323,513.47
main,duel,armor3,Sooge,192,192,1.0,4.2865,1.0625,0.0,2.2188,3.4115,6.6146,0.0,0.0,4.75,4.5365,2.8802,0.5469,0.5469,0.0,0.4531,0.0,0.0729,0.474,0.0,1.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.1042,0.9896,286.08
main,duel,armor3,Tumler,192,192,1.0,5.0,1.5,0.0,2.25,1.3177,3.9427,0.0,0.2396,4.5,4.5,4.5,1.0,1.0,0.0,0.25,0.0,0.75,0.0,0.0,0.0469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242.276,1.0,242.28
main,duel,armor3,Varn,192,192,4.0729,5.0625,1.5,0.0,2.25,1.1094,4.5156,0.0,0.0,9.0,8.8125,8.8125,1.0,1.0,0.0,0.4375,0.0,3.6354,0.0,0.0,0.2344,0.0,0.4062,0.0,0.0,0.0,0.0,0.0,0.0,1154.1615,3.5052,329.27
main,duel,current,Butcher,192,192,1.0,5.1302,1.5,0.0,2.25,3.25,1.0,0.0,0.0,3.25,3.25,3.25,1.0,1.0,0.0,0.25,0.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.1927,1.0,324.19
main,duel,current,Dotra,192,192,1.0,5.0365,1.4375,0.0,2.2292,2.0729,1.849,0.0,0.0,3.8802,3.8802,3.4479,1.0,1.0,0.0,0.1719,0.0,0.8177,0.0104,0.0,0.6979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,340.3073,1.0,340.31
main,duel,current,Fyra,192,192,1.0,3.9271,0.0,0.0,1.7083,3.2344,1.0,0.0,0.0,2.9844,2.9844,2.9844,0.4948,0.4948,0.0,0.25,0.0,0.75,0.0,0.0,0.2969,0.401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,196.724,1.0,196.72
main,duel,current,Kopita,192,192,1.0,4.5521,1.5,0.0,2.25,4.0,1.0,0.0,0.0,4.25,4.25,4.25,0.75,0.75,0.0,0.5,0.0,0.5,0.0,0.276,0.7396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.2552,1.0,324.26
main,duel,current,Kurchin,192,192,1.0,4.5,1.5,0.0,2.25,3.2708,6.0,0.0,0.0,8.25,8.25,8.25,0.75,0.75,0.0,0.5,0.0,0.5,0.0,0.0,0.7708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,1.0,450.0
