CONTROLLED 32 army:Lemek:Varn {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 180} 12.4s
CONTROLLED 64 army:Lemek:Fyra {'battles': 32, 'wins': 4, 'losses': 28, 'draws': 0, 'round_cap': 0, 'phases': 140} 16.6s
CONTROLLED 96 army:Lemek:Kopita {'battles': 32, 'wins': 4, 'losses': 28, 'draws': 0, 'round_cap': 0, 'phases': 188} 21.1s
CONTROLLED 128 army:Lemek:Tumler {'battles': 32, 'wins': 10, 'losses': 20, 'draws': 2, 'round_cap': 0, 'phases': 186} 27.4s
CONTROLLED 160 army:Lemek:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 168} 35.9s
CONTROLLED 192 army:Lemek:Muno {'battles': 32, 'wins': 8, 'losses': 20, 'draws': 4, 'round_cap': 0, 'phases': 186} 39.8s
CONTROLLED 224 army:Lemek:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 144} 42.9s
CONTROLLED 256 army:Lemek:Sooge {'battles': 32, 'wins': 2, 'losses': 30, 'draws': 0, 'round_cap': 0, 'phases': 158} 47.2s
CONTROLLED 288 army:Lemek:Sinodek {'battles': 32, 'wins': 6, 'losses': 24, 'draws': 2, 'round_cap': 0, 'phases': 184} 54.6s
CONTROLLED 320 army:Varn:Fyra {'battles': 32, 'wins': 6, 'losses': 26, 'draws': 0, 'round_cap': 0, 'phases': 156} 58.3s
CONTROLLED 352 army:Varn:Kopita {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 180} 62.9s
CONTROLLED 384 army:Varn:Tumler {'battles': 32, 'wins': 2, 'losses': 30, 'draws': 0, 'round_cap': 0, 'phases': 152} 69.9s
CONTROLLED 416 army:Varn:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 176} 78.3s
CONTROLLED 448 army:Varn:Muno {'battles': 32, 'wins': 12, 'losses': 14, 'draws': 6, 'round_cap': 0, 'phases': 186} 81.4s
CONTROLLED 480 army:Varn:Dotra {'battles': 32, 'wins': 12, 'losses': 20, 'draws': 0, 'round_cap': 0, 'phases': 152} 84.3s
CONTROLLED 512 army:Varn:Sooge {'battles': 32, 'wins': 2, 'losses': 28, 'draws': 2, 'round_cap': 0, 'phases': 176} 89.7s
CONTROLLED 544 army:Varn:Sinodek {'battles': 32, 'wins': 8, 'losses': 24, 'draws': 0, 'round_cap': 0, 'phases': 162} 97.1s
CONTROLLED 576 army:Fyra:Kopita {'battles': 32, 'wins': 16, 'losses': 16, 'draws': 0, 'round_cap': 0, 'phases': 194} 100.4s
CONTROLLED 608 army:Fyra:Tumler {'battles': 32, 'wins': 20, 'losses': 10, 'draws': 2, 'round_cap': 0, 'phases': 208} 104.6s
CONTROLLED 640 army:Fyra:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 174} 117.4s
CONTROLLED 672 army:Fyra:Muno {'battles': 32, 'wins': 16, 'losses': 10, 'draws': 6, 'round_cap': 0, 'phases': 200} 117.4s
CONTROLLED 704 army:Fyra:Dotra {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 156} 122.1s
CONTROLLED 736 army:Fyra:Sooge {'battles': 32, 'wins': 6, 'losses': 22, 'draws': 4, 'round_cap': 0, 'phases': 200} 125.0s
CONTROLLED 768 army:Fyra:Sinodek {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 188} 133.7s
CONTROLLED 800 army:Kopita:Tumler {'battles': 32, 'wins': 10, 'losses': 20, 'draws': 2, 'round_cap': 0, 'phases': 198} 138.4s
CONTROLLED 832 army:Kopita:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 194} 145.9s
CONTROLLED 864 army:Kopita:Muno {'battles': 32, 'wins': 16, 'losses': 12, 'draws': 4, 'round_cap': 0, 'phases': 206} 151.5s
CONTROLLED 896 army:Kopita:Dotra {'battles': 32, 'wins': 4, 'losses': 26, 'draws': 2, 'round_cap': 0, 'phases': 172} 153.6s
CONTROLLED 928 army:Kopita:Sooge {'battles': 32, 'wins': 10, 'losses': 22, 'draws': 0, 'round_cap': 0, 'phases': 194} 160.6s
CONTROLLED 960 army:Kopita:Sinodek {'battles': 32, 'wins': 10, 'losses': 16, 'draws': 6, 'round_cap': 0, 'phases': 208} 167.9s
CONTROLLED 992 army:Tumler:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 198} 177.4s
CONTROLLED 1024 army:Tumler:Muno {'battles': 32, 'wins': 24, 'losses': 6, 'draws': 2, 'round_cap': 0, 'phases': 212} 177.5s
CONTROLLED 1056 army:Tumler:Dotra {'battles': 32, 'wins': 12, 'losses': 18, 'draws': 2, 'round_cap': 0, 'phases': 186} 183.2s
CONTROLLED 1088 army:Tumler:Sooge {'battles': 32, 'wins': 12, 'losses': 16, 'draws': 4, 'round_cap': 2, 'phases': 234} 187.6s
CONTROLLED 1120 army:Tumler:Sinodek {'battles': 32, 'wins': 12, 'losses': 20, 'draws': 0, 'round_cap': 0, 'phases': 200} 194.4s
CONTROLLED 1152 army:Kurchin:Muno {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 204} 204.6s
CONTROLLED 1184 army:Kurchin:Dotra {'battles': 32, 'wins': 28, 'losses': 4, 'draws': 0, 'round_cap': 0, 'phases': 184} 212.0s
CONTROLLED 1216 army:Kurchin:Sooge {'battles': 32, 'wins': 30, 'losses': 2, 'draws': 0, 'round_cap': 0, 'phases': 204} 221.0s
CONTROLLED 1248 army:Kurchin:Sinodek {'battles': 32, 'wins': 18, 'losses': 12, 'draws': 2, 'round_cap': 0, 'phases': 214} 229.5s
CONTROLLED 1280 army:Muno:Dotra {'battles': 32, 'wins': 4, 'losses': 28, 'draws': 0, 'round_cap': 0, 'phases': 166} 229.5s
CONTROLLED 1312 army:Muno:Sooge {'battles': 32, 'wins': 10, 'losses': 16, 'draws': 6, 'round_cap': 6, 'phases': 268} 235.6s
CONTROLLED 1344 army:Muno:Sinodek {'battles': 32, 'wins': 10, 'losses': 22, 'draws': 0, 'round_cap': 0, 'phases': 186} 243.9s
CONTROLLED 1376 army:Dotra:Sooge {'battles': 32, 'wins': 14, 'losses': 16, 'draws': 2, 'round_cap': 0, 'phases': 178} 244.6s
CONTROLLED 1408 army:Dotra:Sinodek {'battles': 32, 'wins': 14, 'losses': 16, 'draws': 2, 'round_cap': 0, 'phases': 184} 251.7s
CONTROLLED 1440 army:Sooge:Sinodek {'battles': 32, 'wins': 14, 'losses': 14, 'draws': 4, 'round_cap': 2, 'phases': 240} 258.0s
Saved 1440 battles: /workspace/scratch/feea0e9fb8a9/monster-wholesale-20260920/armies.json.gz
