CONTROLLED 32 single:Penitent:Butcher {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 10.9s
CONTROLLED 64 single:Penitent:Vulture {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 96} 10.9s
CONTROLLED 96 single:Penitent:Wright {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 160} 10.9s
CONTROLLED 128 single:Penitent:Lemek {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 10.9s
CONTROLLED 160 single:Penitent:Varn {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 10.9s
CONTROLLED 192 single:Penitent:Fyra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 10.9s
CONTROLLED 224 single:Penitent:Kopita {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 96} 10.9s
CONTROLLED 256 single:Penitent:Tumler {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 11.1s
CONTROLLED 288 single:Penitent:Kurchin {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 128} 11.4s
CONTROLLED 320 single:Penitent:Muno {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 11.9s
CONTROLLED 352 single:Penitent:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 12.6s
CONTROLLED 384 single:Penitent:Sooge {'battles': 32, 'wins': 22, 'losses': 0, 'draws': 10, 'round_cap': 0, 'phases': 130} 13.7s
CONTROLLED 416 single:Penitent:Sinodek {'battles': 32, 'wins': 14, 'losses': 18, 'draws': 0, 'round_cap': 0, 'phases': 108} 14.8s
CONTROLLED 448 single:Butcher:Vulture {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 15.3s
CONTROLLED 480 single:Butcher:Wright {'battles': 32, 'wins': 32, 'losses': 0, 'draws': 0, 'round_cap': 0, 'phases': 96} 15.9s
CONTROLLED 512 single:Butcher:Lemek {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 16.3s
CONTROLLED 544 single:Butcher:Varn {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 18.1s
CONTROLLED 576 single:Butcher:Fyra {'battles': 32, 'wins': 0, 'losses': 18, 'draws': 14, 'round_cap': 0, 'phases': 64} 18.2s
CONTROLLED 608 single:Butcher:Kopita {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 18.7s
CONTROLLED 640 single:Butcher:Tumler {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 19.4s
CONTROLLED 672 single:Butcher:Kurchin {'battles': 32, 'wins': 0, 'losses': 30, 'draws': 2, 'round_cap': 0, 'phases': 96} 20.6s
CONTROLLED 704 single:Butcher:Muno {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 20.6s
CONTROLLED 736 single:Butcher:Dotra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 21.1s
CONTROLLED 768 single:Butcher:Sooge {'battles': 32, 'wins': 26, 'losses': 6, 'draws': 0, 'round_cap': 0, 'phases': 80} 21.7s
CONTROLLED 800 single:Butcher:Sinodek {'battles': 32, 'wins': 20, 'losses': 12, 'draws': 0, 'round_cap': 0, 'phases': 88} 22.2s
CONTROLLED 832 single:Vulture:Wright {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 128} 23.2s
CONTROLLED 864 single:Vulture:Lemek {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 23.5s
CONTROLLED 896 single:Vulture:Varn {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 24.7s
CONTROLLED 928 single:Vulture:Fyra {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 25.1s
CONTROLLED 960 single:Vulture:Kopita {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 25.5s
CONTROLLED 992 single:Vulture:Tumler {'battles': 32, 'wins': 0, 'losses': 32, 'draws': 0, 'round_cap': 0, 'phases': 64} 25.9s
